id,domain,robots_content,sitemap_content
299,fito-gis.mko.gov.si,/,/
314,uvps.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
368,dokumenti-pis.mop.gov.si,/,/
393,et2006.mddsz.gov.si,"<!DOCTYPE html>
<html lang=""sl"" dir=""ltr"">

<head>
	<title>Ste morda pomislili na nevarnosti in tveganja pri delu na delovnem mestu? | Portal za varnost in zdravje pri delu</title>
    <base href=""http://www.osha.mddsz.gov.si/"" />
	<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
	<meta name=""Description"" content=""Poznate svoje pravice in dolžnosti?
Mladi delavci, verjetno o nevarnostih in tveganjih pri delu na delovnem mestu še ne razmišljate. Vendar se ravno mladi d"" />
	<meta name=""Keywords"" content="""" />
	<meta name=""Author"" content=""Creatim Ržišnik Perc je agencija za digitalni marketing. Izdelava spletnih strani, marketinške rešitve, tržne komunikacije."" />
	<meta name=""robots"" content=""all"" />
	<link href=""favicon.ico"" rel=""shortcut icon"" />
	<link href=""favicon.ico"" rel=""icon"" />
	
	<meta name=""viewport"" content=""device-width"" />
	<meta name=""viewport"" content=""user-scalable=yes"" />
	<meta name=""viewport"" content=""initial-scale=1"" />
	
	<meta property=""og:type"" content=""website"">
	<meta property=""og:image"" content=""resources/images/og_logo.png"">
	<meta property=""og:site_name"" content=""Varnost in zdravje pri delu"">
	<meta property=""og:title"" content=""Ste morda pomislili na nevarnosti in tveganja pri delu na delovnem mestu? | Portal za varnost in zdravje pri delu"">
	<meta property=""og:description"" content=""Poznate svoje pravice in dolžnosti?
Mladi delavci, verjetno o nevarnostih in tveganjih pri delu na delovnem mestu še ne razmišljate. Vendar se ravno mladi d"">
	<meta name=""twitter:card"" content=""summary"">
	<meta name=""twitter:image"" content=""resources/images/og_logo.png"">
	<meta name=""twitter:site"" content=""@OSHA"">
	<meta name=""twitter:creator"" content=""@OSHA"">
	<meta name=""twitter:title"" content=""Ste morda pomislili na nevarnosti in tveganja pri delu na delovnem mestu? | Portal za varnost in zdravje pri delu"">
	<meta name=""twitter:description"" content=""Poznate svoje pravice in dolžnosti?
Mladi delavci, verjetno o nevarnostih in tveganjih pri delu na delovnem mestu še ne razmišljate. Vendar se ravno mladi d"">
		
	
	<link rel=""stylesheet"" type=""text/css"" media=""screen"" href=""resources/css/layout.css?v=1516022479"" />
	<link rel=""stylesheet"" type=""text/css"" media=""screen"" href=""resources/css/style.css?v=1516022479"" />
	<link rel=""stylesheet"" type=""text/css"" media=""print"" href=""resources/css/print.css?v=1516022479"" />
	<link rel=""stylesheet"" type=""text/css"" media=""screen"" href=""resources/css/prettyPhoto.css"" />

<link rel=""alternate"" type=""application/rss+xml"" title=""Novice"" href=""http://www.osha.mddsz.gov.si/index.php?r=rss&amp;type=novice"" />
<link rel=""alternate"" type=""application/rss+xml"" title=""Dogodki"" href=""http://www.osha.mddsz.gov.si/index.php?r=rss&amp;type=dogodki"" />

	<script type=""text/javascript"" src=""resources_core/js/main.js""></script>
	<script type=""text/javascript"" src=""resources_core/js/jquery/jquery.js""></script>
	<script type=""text/javascript"" src=""resources/js/jquery.easing.1.3.js""></script>
	<script type=""text/javascript"" src=""resources/js/jquery.cycle.all.js""></script>    
	<script type=""text/javascript"" src=""resources/js/slider.js""></script>   
	<script type=""text/javascript"" src=""resources/js/jcarousellite_1.0.1.min.js""></script>
	<script type=""text/javascript"" src=""resources/js/jquery.prettyPhoto.js""></script>
	<script type=""text/javascript"" src=""resources/js/main.js""></script>
	
	<!--[if IE 9]>
		<style type=""text/css"" media=""all"">@import url(resources/css/ie9.css);</style>
		<meta http-equiv=""X-UA-Compatible"" content=""IE=9"">
	<![endif]-->
	<!--[if lte IE 8]>
		<script type=""text/javascript"" src=""http://html5shim.googlecode.com/svn/trunk/html5.js""></script>
		<meta http-equiv=""X-UA-Compatible"" content=""IE=EmulateIE8"" />
		<style type=""text/css"" media=""all"">@import url(resources/css/ie8.css);</style>
	<![endif]-->
	<!--[if lte IE 7]>
		<meta http-equiv=""X-UA-Compatible"" content=""IE=EmulateIE7""> 
		<style type=""text/css"" media=""all"">@import url(resources/css/ie7.css);</style>
	<![endif]-->
	<!--[if IE 6]>
		<style type=""text/css"" media=""all"">@import url(resources/css/ie6.css);</style>
	<![endif]-->
	
	
	  
    
    <script type=""text/javascript"">

  var _gaq = _gaq || [];
  _gaq.push(['_setAccount', 'UA-33665665-1']);
  _gaq.push(['_trackPageview']);

  (function() {
    var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true;
    ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js';
    var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s);
  })();

</script>

    
</head>
<body id=""index"" class=""responsive pageCenter campaign"">
	<header id=""header"" class=""rp960"">
		<h1 class=""logo""><a href=""/"" rel=""home"" title=""Portal za varnost in zdravje pri delu""><img src=""resources/images/logo.png"" /></a></h1>
		<p id=""strapline"">Zdravo delovno okolje. Dobro za vas. Dobro za posel.</p>
		<p id=""secLogo""><a href=""/"" title=""Ministrstvo za delo, družino, socialne zadeve in enake možnosti"">Ministrstvo za delo, družino, socialne zadeve in enake možnosti</a></p>
		<nav id=""categories"">
			<p class=""home""><a href=""/"" title=""Domov""><span>Domov</span></a></p>
				<nav>
		<ul>
							<li  class=""first""><a href=""varnost-in-zdravje-pri-delu"" title=""Varnost in zdravje pri delu""><span>Varnost in zdravje pri delu</span></a></li>
							<li ><a href=""aktivnosti"" title=""Aktivnosti""><span>Aktivnosti</span></a></li>
							<li ><a href=""oira-ocenjevanje-tveganja"" title=""OiRA""><span>OiRA</span></a></li>
							<li ><a href=""kampanje"" title=""Kampanje""><span>Kampanje</span></a></li>
							<li ><a href=""aktualno"" title=""Aktualno""><span>Aktualno</span></a></li>
							<li  class=""last""><a href=""o-nas"" title=""O nas""><span>O nas</span></a></li>
							<li class=""onlyMobile clear"">
				<div class=""offset"">
                    <a href=""/"" title=""Domov"">Domov</a> <small> | </small>
                    <a href=""kazalo"" title=""Kazalo"">Kazalo</a><small> | </small>
                    <a href=""o-nas/kontakt"" title=""Kontakt"">Kontakt</a>
				<form>
					<fieldset class=""siteSearch"">
						<legend>Iskanje po strani</legend>
						<input type=""hidden"" name=""t"" value=""SearchMinistrstvovzd""/>
       					<input type=""hidden"" name=""l"" value=""sl""/>
						<p class=""textType""><label for=""search"">Išči:</label> <input type=""text"" id=""search"" class=""textType"" name=""q"" value=""Iskanje po strani"" /></p>
						<p class=""submitType""><input type=""submit"" class=""submitType"" value=""Išči"" /></p>
					</fieldset>
				</form>
                <div class=""loginBox login logged box"">
	<h4>Prijava</h4>
			<p class=""loggedOut"">
			<a href=""nacionalna-mreza"">Prijava</a>
		</p>
	</div>




				</div>
				</li>
		</ul>
	</nav>
		</nav>
		<p class=""mobileMenu onlyMobile""><a href=""#"" class=""icon iconMobileMenu""><span>Odpri menu</span></a></p>
	</header>
	
	<style type=""text/css"">
.campaignHolder {
background:#EEEEEE url(resources/images/kampanje/kampanje2006.jpg) no-repeat  0 0;
}
.campaignHolder #content a, .campaignHolder #subCategories ul li ul li.selected a, .campaignHolder .newsCampaign h2 a {
	color: #356f9d;
}
.campaignHolder .logo {
	background-color: #356f9d;
}
.campaignHolder .logo a {
	color: #fff;
	border-color: #fff;
	padding-top: 105px;
	background: url(resources/images/kampanje/logo2006.jpg) no-repeat center 20px ;
}
.campaignHolder .logo a:hover {
	color: #fff;
	border-color: #fff;
}
span#mainImage {width: 700px; height: 124px; display: block;
	background: url(resources/images/kampanje/mainImage2006.jpg) no-repeat 0 0;
	padding-bottom: 20px;
	overflow: hidden; 
	text-indent: -1700px;
	text-align: left !important;
}
span#footImage {width: 100%; height: 26px; display: block;
	background: url(resources/images/kampanje/kampanje2006.jpg) no-repeat 0 0;
	overflow: hidden; 
	text-indent: -1700px;
	text-align: left !important;
}
table.znaki  {
background:#ffffff;
border: none!important;
}

table.znaki td {
background: none!important;
text-align: center;
border: none!important;
}

table.znaki tbody tr:last-child td {
border: none!important;
}

#subCategories ul li ul li {
    padding-left:10px;
}
#subCategories ul li ul li a{
   font-size:11px;
}

.campaignHolder #subCategories ul li ul li a {
    background: none!important;
    color:#555!important;
line-height:20px;

}
.campaignHolder #subCategories ul li ul li.selected a, .campaignHolder #subCategories ul li ul li:hover a {

    color: #378fae!important;
}

table {
    margin: 5px 0;
}

table tbody tr:nth-child(2n) td {
    background: none repeat scroll 0 0 #fff;
}


table tbody tr:nth-child(2n+1) td {
    background: none repeat scroll 0 0 #f7f7f7;
}

table tbody tr:hover td{
    background: none repeat scroll 0 0 #dddddd!important;
}

table.znaki tbody tr:hover td{
 background:#ffffff!important;
}

.campaignHolder #subCategories ul li a {
   
    padding: 10px 0 10px 23px;
text-transform : uppercase;
line-height: 15px;

}

.campaignHolder #subCategories ul li.selected a, .campaignHolder #subCategories ul li:hover a {
    background: url(""resources/images/dot1_li.png"") no-repeat scroll 8px 13px transparent;
    color: #000;
}

.campaignHolder #subCategories ul li ul li.first a {
    border-top: 0!important;
}


.campaignHolder #subCategories ul li ul li a {
 
    line-height: 15px;
     padding: 5px 0 5px 13px;
   text-transform : none;
}
</style>
<nav class=""breadcrumbs rp960"">
	<ul class=""breadcrumbs""><li><a href=""index.php?i=1""  title=""Domov"">Domov</a></li><li><a href=""varen-zacetek""  title=""Varen začetek"">Varen začetek</a></li><li>Mladi delavci</li></ul>
</nav>
<div class=""content rp960"">
	<div class=""clear twoColLeft campaignHolder"">
		<section id=""content"">
            <span id=""mainImage"">Kampanja</span>
			<h1>Ste morda pomislili na nevarnosti in tveganja pri delu na delovnem mestu?</h1>
			<h3><strong>Poznate svoje pravice in dolžnosti?</strong></h3>
<p><strong>Mladi delavci</strong>, verjetno o nevarnostih in tveganjih pri delu na delovnem mestu še ne razmišljate. Vendar se ravno mladi delavci vaših let, ki začno delati, najpogosteje poškodujejo. Statistični podatki Evropske unije kažejo, da je stopnja verjetnosti, da bodo delavci, ki so stari od 18 do 24 let, doživeli nezgodo pri delu, kar 50% višja od stopnje verjetnosti, da se bo to zgodilo delavcu iz drugih starostnih skupin. K sreči gre po navadi za manjše poškodbe (ureznine in udarnine prstov), toda čemu naj bi bili vaši prvi dnevi samostojnosti povezani z nezgodo in tveganji.</p>
<p><strong>Varnost in zdravje pri delu</strong> niso samo dolgočasna pravila in predpisi! Tudi predpisi so seveda nujni, gre pa predvsem za to, da mora biti že na začetku poskrbljeno za vašo varnost in zdravje pri delu, da je treba zaščititi vaše prihodnje zdravje, tako da boste lahko uživali polno življenje. Pri delu vam ni treba tvegati, da se boste poškodovali ali celo izgubili življenje.</p>
<p>E-naslov: <a href=""#"" name=""scrambled_mail_href"" title=""hq/neet{Ahpw/tj""  >hq/neet{Ahpw/tj</a></p>			
		</section>
		<aside id=""sidebar"">
			
<div class=""logo"">
	<a href=""""></a> 
</div>

	                                    <nav id=""subCategories"">
                    <ul>
                                                    <li  class=""selected first"">
                                <a href=""varen-zacetek/mladi-delavci"">Mladi delavci</a> 
                                                                 <ul>
                                                                        <li  class=""first"">
                                      <a href=""varen-zacetek/mladi-delavci/osnovnosolci"">Osnovnošolci</a> 
                                     </li>
                                                                        <li >
                                      <a href=""varen-zacetek/mladi-delavci/dijaki-in-studentje"">Dijaki in študentje</a> 
                                     </li>
                                                                        <li >
                                      <a href=""varen-zacetek/mladi-delavci/prva-zaposlitev"">Prva zaposlitev</a> 
                                     </li>
                                                                        <li  class=""last"">
                                      <a href=""varen-zacetek/mladi-delavci/nekaj-osnovnih-napotkov"">Nekaj osnovnih napotkov</a> 
                                     </li>
                                                                    </ul>
                                                          </li>
                             
                                                    <li >
                                <a href=""varen-zacetek/delodajalci"">Delodajalci</a> 
                                                            </li>
                             
                                                    <li >
                                <a href=""varen-zacetek/starsi"">Starši</a> 
                                                            </li>
                             
                                                    <li >
                                <a href=""varen-zacetek/napotki-za-varno-delo"">Napotki za varno delo</a> 
                                                            </li>
                             
                                                    <li >
                                <a href=""spletne-aplikacije/drugi-delezniki"">Drugi deležniki</a> 
                                                            </li>
                             
                                                    <li  class=""last"">
                                <a href=""varen-zacetek/zanimivosti"">Zanimivosti</a> 
                                                            </li>
                             
                                            </ul>
                </nav>
                        			<img src=""resources/files/pic/Varen_zacetek/moz1.png"" />
		</aside>

	</div>
	<span id=""footImage"">Noga Kampanje</span>
</div>
	<div id=""secondaryNav"">
		<div class=""rp960"">
			<div class=""subPages"">
				<ul>
                    <li class=""first""><a href=""/"" title=""Domov"">Domov</a></li>
                    <li><a href=""kazalo"" title=""Kazalo"">Kazalo</a></li>
                    <li class=""last""><a href=""o-nas/kontakt"" title=""Kontakt"">Kontakt</a></li>
									</ul>
				<form>
					<fieldset class=""siteSearch"">
						<legend>Iskanje po strani</legend>
						<input type=""hidden"" name=""t"" value=""SearchMinistrstvovzd""/>
       					<input type=""hidden"" name=""l"" value=""sl""/>
						<p class=""textType""><label for=""search"">Išči:</label> <input type=""text"" id=""search"" class=""textType"" name=""q"" value=""Iskanje po strani"" /></p>
						<p class=""submitType""><input type=""submit"" class=""submitType"" value=""Išči"" /></p>
					</fieldset>
				</form>
                <div class=""loginBox login logged box"">
	<h4>Prijava</h4>
			<p class=""loggedOut"">
			<a href=""nacionalna-mreza"">Prijava</a>
		</p>
	</div>




			</div>
            
		</div>
	</div>
	
	<div class=""cookieWrap"" style=""display:none;"">
		<div class=""cookieIconHolder"">
			<p class=""cookieIcon"">Piškotki</p>
			<div class=""cookieIconBackground""></div>
		</div>
		<div class=""cookieInnerWrap"">
			<p class=""cookieText"">Spletno mesto za namen izboljšave delovanja uporablja piškotke. <br />Z uporabo strani soglašate z uporabo piškotkov.</p>
			<div class=""cookieButtons"">
				<p class=""cookieButton""><a class=""cookieAccept"" href=""http://www.osha.mddsz.gov.si/varen-zacetek?__cookiePolicy=accept"">Strinjam se!</a></p>
				<p class=""cookieButton""><a class=""cookieInfo"" href=""piskotki"">Več o piškotkih!</a></p>
			</div>
		</div>
		<div class=""cookieCloseIcon"">
			<div class=""cookieIconBackground"">&nbsp;</div>
		</div>
		<div class=""cookieBackground"">&nbsp;</div>
	</div>
	
	

<script type=""text/javascript"">

	jQuery(document).ready(function() {

				
			jQuery('.cookieWrap .cookieIcon, .cookieWrap .cookieInnerWrap').equalHeight(true);

		
	});
		(function(jQuery) {
			jQuery.fn.equalHeight = function(excludePadding) {
				var group = jQuery(this);
				group.height('auto');
				var tallest = 0;
				group.each(function() {
					var thisHeight;
					
					if (excludePadding) {
						thisHeight = jQuery(this).height();
					} else {
						thisHeight = jQuery(this).outerHeight();
					}
					
					if (thisHeight > tallest) {
						tallest = thisHeight;
					}
				});
				group.height(tallest);
			}
		})(jQuery);

</script>



<style>
	@media all and ( max-width : 600px) {
		.cookieWrap { width: 100%; height: auto !important; }
		.cookieWrap.msgClosed { width: auto; }
		.cookieWrap .cookieIcon { height: 100%; }
		.cookieWrap .cookieInnerWrap { width: 80% }
		.cookieWrap .cookieText { width: 100%; padding: 5px 0 5px 10px !important; white-space: normal !important; }
		.cookieWrap .cookieText br { display: none; }
		.cookieWrap .cookieButtons { width: 100%; padding-left: 6px }
		.cookieWrap .cookieButton { padding: 3px 3px 6px 3px !important; }
		.cookieWrap .cookieButton .cookieInfo { margin-right: 10px !important; }
	}
	.cookieWrap { position: fixed; left: 0; bottom: 0; z-index: 9999; overflow: hidden; height: 43px; display : block!important; }
	.cookieWrap .cookieIconHolder { position: relative; float: left; z-index: 100; }
	.cookieWrap .cookieCloseIcon { position: absolute; right: 0; width: 4px; height: 100%; z-index: 100; }
	.cookieWrap .cookieIcon { position: relative; z-index: 100; background: url(resources_core/images/cookie.png) 7px 7px no-repeat scroll transparent; height: 43px; width: 43px; text-indent: -9999px; display: block; margin: 0; padding: 0; float: left; }
	.cookieWrap .cookieInnerWrap { float: left; }
	.cookieWrap .cookieText { position: relative; z-index: 100; color: #fff; font-size: 12px; line-height: 14px; text-align: left; margin: 0; padding: 8px 35px 8px 8px; display: inline-block; float: left;  white-space: nowrap }
	.cookieWrap .cookieButtons { display: inline-block; float: left; }
	.cookieWrap .cookieButton { position: relative; z-index: 100; float: left; margin: 0; padding: 9px 0; }
	.cookieWrap .cookieButton a { -webkit-border-radius: 50px; -khtml-border-radius: 50px; -moz-border-radius: 50px; border-radius: 50px; width: 26px; height: 26px; text-indent: -9999px; display: block; border: 2px solid #fff; -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; }
	.cookieWrap .cookieButton .cookieAccept { background: url(resources_core/images/cookie_icons.png) center 7px no-repeat scroll #389c3f; margin-right: 5px; }
	.cookieWrap .cookieButton .cookieDecline { background: url(resources_core/images/cookie_icons.png) center -20px no-repeat scroll #e32c25; margin-right: 5px; }
	.cookieWrap .cookieButton .cookieInfo { background: url(resources_core/images/cookie_icons.png) center -45px no-repeat scroll #6a6a6a; margin-right: 25px; }
	.cookieWrap .cookieButton .cookieAccept:hover { background-color: #54cf5c; }
	.cookieWrap .cookieButton .cookieDecline:hover { background-color: #ff4942; }
	.cookieWrap .cookieButton .cookieInfo:hover { background-color: #989898; }		
	.cookieWrap .cookieButton .cookieAccept:active { background-color: #389c3f; }
	.cookieWrap .cookieButton .cookieDecline:active { background-color: #e32c25; }
	.cookieWrap .cookieButton .cookieInfo:active { background-color: #6a6a6a; }
	.cookieWrap .cookieBackground, .cookieWrap .cookieIconHolder .cookieIconBackground, .cookieWrap .cookieCloseIcon .cookieIconBackground { position: absolute; top: 0px; left: 0px; width: 100%; height: 100%; background-color: #000; z-index:1; -ms-filter:""progid:DXImageTransform.Microsoft.Alpha(Opacity=50)""; filter: alpha(opacity=50);
       opacity:.5; }
    .cookieWrap.msgClosed .cookieInnerWrap { display: none; }
    .cookieWrap.msgClosed .cookieIconHolder { cursor: pointer; }
    .cookieWrap.msgClosed .cookieCloseIcon { width: 15px; cursor: pointer; }
    .cookieWrap.msgClosed .cookieCloseIcon p { position: relative; z-index: 100; text-indent: -9999px; display: block; width: 15px; height: 43px; background: url(resources_core/images/cookie_arrow.png) -99px 14px no-repeat scroll transparent; }
    .cookieWrap.msgOpened .cookieIconHolder { padding-right: 0; cursor: pointer; }
    .cookieWrap.msgOpened .cookieCloseIcon { width: 15px; cursor: pointer; }
    .cookieWrap.msgOpened .cookieCloseIcon p { position: relative; z-index: 100; text-indent: -9999px; display: block; width: 15px; height: 43px; background: url(resources_core/images/cookie_arrow.png) 3px 14px no-repeat scroll transparent; }
</style>

	<div class=""rp960 eNewsLogin""><span class=""eNews"">Prijavite se na obveščanje</span><a class=""button"" href=""aktualno/prijava-na-obvescanje"">Prijava</a> </div>
	<footer id=""footer"" class=""rp960 clear"">
		<div id=""logos"" class=""clear"">
			<p>
                <a href=""http://www.id.gov.si/si"" title=""Ministrstvo za delo, družino, socialne zadeve in enake možnosti"" rel=""external""><img src=""resources/images/logo2.png"" class=""logoImg"" width=""285"" height=""81"" alt=""Ministrstvo za delo, družino, socialne zadeve in enake možnosti"" /></a>
				<a href=""https://osha.europa.eu/sl/front-page/view"" title=""Evropska agencija za varnost in zdravje pri delu"" rel=""external""><img src=""resources/images/logo1.png"" class=""logoImg"" width=""116"" height=""81"" alt=""Evropska agencija za varnost in zdravje pri delu"" /></a>
				<a href=""http://www.eurofound.europa.eu/index.htm"" title=""Eurofound"" rel=""external""><img src=""resources/images/logo3.png"" class=""logoImg"" width=""162"" height=""81"" alt=""Eurofound"" /></a>
			</p>
		</div>
		<p class=""copyrights"">Copyright 2019 Ministrstvo za delo, družino, socialne zadeve in enake možnosti <small>|</small> <a href=""pravna-obvestila"">Pravna obvestila</a> <small>|</small> <a href=""piskotki"">Piškotki</a> <small>|</small> <a href=""dostopnost"">Dostopnost</a> <small>|</small> <a href=""/avtorji"">Avtorji</a> <small>|</small> Zadnjič posodobljeno: 18. 03. 2019</p>
	<script type=""text/javascript"">
		var __turnOnResponsive = 'Vklopi širjenje strani';
		var __turnOffResponsive = 'Izklopi širjenje strani';
		var __openMobileMenu = 'Odpri menu';
		var __closeMobileMenu = 'Zapri menu';
	</script>	
	</footer>
	<script type=""text/javascript"" src=""//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-5a1eb3ea81e890be""></script>

</body>
</html>",""
65,ess.gov.si,/,/
91,prostor4.gov.si,"User-agent: *
Disallow: /ows2-ins/
",""
109,rkg.gov.si,/,/
223,vurs.gov.si,/,/
240,blagajne.fu.gov.si:9005,/,/
243,ujp.gov.si,/,/
255,arhiv.mp.gov.si,"User-agent: *
Disallow: /",""
276,gostinstvo.mddsz.gov.si,/,/
281,uvhvvr.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
300,agromet.mkgp.gov.si,/,/
369,dokumenti-pis.mop.gov.si,/,/
384,isvzd.mddsz.gov.si,/,/
66,ess.gov.si,/,/
93,sigov-ca.gov.si,/,/
114,mk.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
278,gostinstvo.mddsz.gov.si,/,/
301,agromet.mkgp.gov.si,/,/
323,ciscenje-stavb.mddsz.gov.si,/,/
370,dokumenti-pis.mop.gov.si,/,/
67,ess.gov.si,/,/
94,datoteke.fu.gov.si,/,/
123,mz.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
277,gostinstvo.mddsz.gov.si,/,/
303,agromet.mko.gov.si,/,/
326,sovd.gov.si,/,/
371,dokumenti-pis.mop.gov.si,/,/
68,osha.mddsz.gov.si,"User-agent: *
Disallow:",""
95,datoteke.fu.gov.si,/,/
113,mkgp.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
279,gostinstvo.mddsz.gov.si,/,/
304,agromet.mko.gov.si,/,/
321,ciscenje-stavb.mddsz.gov.si,/,/
372,dokumenti-pis.mop.gov.si,/,/
69,nio.gov.si,"User-agent: *
Disallow: /ser/


",""
96,mgrt.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
101,dv.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
105,prostor.zgs.gov.si,"<!doctype html>
<html>

	<head>
	
    	<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

        <link rel='shortcut icon' type='image/x-icon' href='favicon.ico' />

		<!-- A must for GXT 3.X -->
		<link rel=""stylesheet"" type=""text/css"" href=""reset.css"" />
	
		<!-- Default css. -->
    	<link type=""text/css"" rel=""stylesheet"" href=""Viewer.css"">    

    	<title>Zavod za gozdove Slovenije</title>
        
    	<script type=""text/javascript"" language=""javascript"" src=""Viewer/Viewer.nocache.js""></script>
    	<script src='./OpenLayers-2.12/OpenLayers.js'></script>
    	<script src=""http://www.zgs.si/fileadmin/zgs/main/js/jquery.min.js?1468931727""></script>
		<!--<script src='./OpenLayers-2.12/lib/OpenLayers.js'></script>-->
    	
	</head>

	<body>
		
		<div id=""loadingAnimation"">
		    <img src=""images/loading17.gif"" />
		</div>
				

		<iframe src=""javascript:''"" id=""__gwt_historyFrame"" tabIndex='-1' style=""position:absolute;width:0;height:0;border:0""></iframe>
    
    	<noscript>
      		<div style=""width: 22em; position: absolute; left: 50%; margin-left: -11em; color: red; background-color: white; border: 1px solid red; padding: 4px; font-family: sans-serif"">
				Your web browser must have JavaScript enabled in order for this application to display correctly.
      		</div>
    	</noscript>
    	
	</body>
	
</html>
",""
121,mz.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
127,urednik.typo3.sigov.si,/,/
143,et2005.mddsz.gov.si,"User-agent: *
Disallow: /images/
",""
150,ti.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
166,urednik.sess.sigov.si,/,/
168,urednik.sess.sigov.si,/,/
172,mrrsp.gov.si,/,/
173,mrrsp.gov.si,/,/
179,parki.mop.gov.si,/,/
192,sirena.arso.gov.si,/,/
193,bsp1h.gov.si,/,/
203,enotnazbirkaukrepov.gov.si,"User-agent: *
Disallow: /css/
Disallow: /js/
Disallow: /img/
Disallow: /files/
Disallow: /fonts/",""
217,evode.gov.si,"User-agent: *

# Only allow URLs generated with RealURL
Disallow: /*?id=*
Disallow: /*&id=*

# L=0 is the default language
Disallow: /*?L=0*
Disallow: /*&L=0*

# typeNum = 98 is usually the print version.
Disallow: /*?type=98*
Disallow: /*&type=98*

# Should always be protected (.htaccess)
Disallow: /*/Private/*
Disallow: /fileadmin/predloga/*
Disallow: /fileadmin/bootstrap_package/*
Disallow: /fileadmin/introduction/*
Disallow: /*/Configuration/*
Disallow: /*?tx_indexedsearch
Disallow: /typo3/              
Disallow: /typo3conf/    
Disallow: /typo3temp/  
Disallow: /nc/    
Disallow: /*&no_cache=1    
Disallow: /*?no_cache=1        

Disallow: /typo3temp/*
Allow: /typo3temp/*.css
Allow: /typo3temp/*.css.*.gzip
Allow: /typo3temp/*.js
Allow: /typo3temp/*.js.*.gzip
Allow: /typo3temp/*.jpg
Allow: /typo3temp/*.gif
Allow: /typo3temp/*.png

Disallow: *.sql
Disallow: *.sql.gz",""
227,forum2.arsktrp.gov.si,/,/
228,arhiv.mkgp.gov.si,"User-agent: *
Disallow: /",""
